Assay,DCC,SchemaName,SchemaURL,IsFallback,Rationale
3D confocal imaging,NF,MicroscopyAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MicroscopyAssayTemplate.json,No,General-purpose microscopy schema; no DCC has a 3D-specific variant
Atomic force microscopy,NF,MaterialScienceAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MaterialScienceAssayTemplate.json,Yes,Closest fit (surface/material characterization); no DCC has an AFM-specific schema
Cell viability assay,NF,PlateBasedReporterAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/PlateBasedReporterAssayTemplate.json,Yes,No DCC models cell-viability readouts directly; plate-based reporter assay is the closest technique match (e.g. luminescence/colorimetric viability readouts)
Clinical data,NF,ClinicalAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/ClinicalAssayTemplate.json,No,"General-purpose clinical/tabular schema, not tied to one disease's scoring system"
Confocal microscopy,NF,MicroscopyAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MicroscopyAssayTemplate.json,No,Direct general match
ELISA,NF,AffinityProteomicsTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/AffinityProteomicsTemplate.json,Yes,No DCC has a standalone ELISA schema; antibody-based affinity proteomics is the closest technique match
Flow cytometry,NF,FlowCytometryTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/FlowCytometryTemplate.json,No,"Direct, general-purpose match"
Fluorescence microscopy assay,NF,MicroscopyAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MicroscopyAssayTemplate.json,No,"General microscopy match (ImmunoMicroscopy assumes antibody staining, not always implied)"
High content screen,NF,MicroscopyAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MicroscopyAssayTemplate.json,Yes,No DCC models HCS specifically; automated multi-well microscopy imaging is the core underlying technique
Histology,HTAN2,HTAN.DigitalPathologyData,https://github.com/ncihtan/htan2-data-model/blob/main/JSON_Schemas/v1.5.0/HTAN.DigitalPathologyData-v1.5.0-schema.json,No,"Purpose-built for histology (staining method, magnification, H&E) -- most relevant despite being tumor-atlas-oriented"
Immunofluorescence,NF,ImmunoMicroscopyTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/ImmunoMicroscopyTemplate.json,No,"Direct, general-purpose match (antibody/assayTarget fields)"
Immunohistochemistry,NF,ImmunoMicroscopyTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/ImmunoMicroscopyTemplate.json,No,Direct match; general-purpose over tumor-atlas-specific HTAN2 alternative
In silico model / modeling,NF,GenericDataResourceTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/GenericDataResourceTemplate.json,Yes,No DCC has a computational/in-silico-model assay schema; this is NF's explicit placeholder template for data types with no domain-specific schema yet
Insilicosynthesis,NF,GenericDataResourceTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/GenericDataResourceTemplate.json,Yes,Same as In silico model/modeling -- no matching schema exists in any surveyed DCC
Liquid chromatography/mass spectrometry,NF,MassSpecAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MassSpecAssayTemplate.json,No,"Direct, general-purpose match"
Live imaging,NF,MicroscopyAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MicroscopyAssayTemplate.json,No,General match; no DCC has a live/time-lapse-specific variant
Mass spectrometry,NF,MassSpecAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/MassSpecAssayTemplate.json,No,"Direct, general-purpose match"
Multi-electrode array,NF,ElectrophysiologyAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/ElectrophysiologyAssayTemplate.json,No,Direct match (MEA is an electrophysiology technique)
RNA-seq,NF,RNASeqTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/RNASeqTemplate.json,No,"Most general-purpose, richest, most actively maintained RNA-seq schema across DCCs surveyed"
Single-cell RNA-seq,NF,ScRNASeqTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/ScRNASeqTemplate.json,No,General-purpose over tumor-atlas-specific (HTAN2) or narrower DCC schemas
Single-nucleus RNA-seq,ARK,SnRNASeqAssayMetadataTemplate,https://github.com/ARK-Portal/data_model/blob/main/model_json_schema/ark.SnRNASeqAssayMetadataTemplate.schema.json,No,Only DCC surveyed with a distinct single-nucleus RNA-seq schema
Single-cell ATAC-seq,ARK,SnATACseqAssayMetadataTemplate,https://github.com/ARK-Portal/data_model/blob/main/model_json_schema/ark.SnATACseqAssayMetadataTemplate.schema.json,No,Only DCC with a single-cell/nucleus-specific ATAC-seq schema (ADKP's is bulk-only)
Small molecule library screen,NF,PlateBasedReporterAssayTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/PlateBasedReporterAssayTemplate.json,Yes,No DCC has a dedicated library-screen schema; plate-based compound screening is the closest fit
Spatial transcriptomics,NF,SpatialTranscriptomicsSequencingTemplate,https://github.com/nf-osi/nf-metadata-dictionary/blob/main/registered-json-schemas/SpatialTranscriptomicsSequencingTemplate.json,No,"General-purpose, most actively maintained, not tumor-atlas-specific (vs. HTAN2's Spatial schemas)"
